"Word","Part of Speech","Pronunciation","Definition","Synonyms","Antonyms","Example Sentence","Date Added","Marking","Mastery Status"
"TESTPERSIST","Vocabulary","","TESTPERSIST (SSAT Vocabulary Word).","","","","Sep 12, 2026","Uncategorized","uncategorized"
"EBULLIENT","Adjective","i-ˈbu̇l-yənt","boiling, agitated","exuberant; spirited; high-spirited","","","Sep 12, 2026","Uncategorized","uncategorized"
"METICULOUS","Adjective","mə-ˈti-kyə-ləs","very careful about doing something in an extremely accurate and exact way","fastidious; punctilious; precise","careless; sloppy","She was meticulous about keeping notes.","Sep 12, 2026","Uncategorized","uncategorized"
"ALWAYS_SAVE_TEST","Adjective","","Always saved to SSAT_verbal_helper folder","test","","","Sep 12, 2026","Uncategorized","uncategorized"
"GRATUITOUS","Adjective","grə-ˈtü-ə-təs","not called for by the circumstances : not necessary, appropriate, or justified : unwarranted","free; unnecessary; complimentary","","","Sep 12, 2026","Uncategorized","uncategorized"
"EFFIGY","Noun","ˈe-fə-jē","an image or representation especially of a person; especially : a crude figure representing a hated person","simulacrum; image; profile","","","Sep 12, 2026","Uncategorized","uncategorized"
"LANGUISH","Verb","ˈlaŋ-gwish","to be or become feeble, weak, or enervated","ache; pine; long","","","Sep 12, 2026","Uncategorized","uncategorized"
"MOROSE","Adjective","mə-ˈrōs","having a sullen and gloomy disposition","sullen; dour; dark","","","Sep 12, 2026","Uncategorized","uncategorized"
"DROSS","Noun","ˈdräs","the scum or unwanted material that forms on the surface of molten metal","slag; scoria; impurity","","","Sep 12, 2026","Uncategorized","uncategorized"
"PERFIDY","Noun","ˈpər-fə-dē","the quality or state of being faithless or disloyal : treachery","treachery; treason; betrayal","","","Sep 12, 2026","Uncategorized","uncategorized"
"PROGNOSTICATE","Verb","präg-ˈnä-stə-ˌkāt","to foretell from signs or symptoms : predict","presage; call; augur","","","Sep 12, 2026","Uncategorized","uncategorized"
"ELEGY","Noun","ˈe-lə-jē","a poem in elegiac couplets","lament; dirge; monody","","","Sep 12, 2026","Uncategorized","uncategorized"
"INGRATIATE","Verb","in-ˈgrā-shē-ˌāt","to gain favor or favorable acceptance for by deliberate effort —usually used with with","endear; flatter; curry favor","","","Sep 12, 2026","Uncategorized","uncategorized"
"ARTIFICE","Noun","ˈär-tə-fəs","clever or artful skill : ingenuity","ruse; wile; trick","","","Sep 12, 2026","Uncategorized","uncategorized"
